order_no,created_at,amount,channel,sales_owner,invoice_required,reconcile_mismatch
SC908001,2026-07-20T12:08:00,5192.72,电话下单,赵强,否,是
SC908002,2026-07-20T17:50:00,3129.52,商城,吴倩,是,否
SC908003,2026-07-20T15:11:00,6500.72,门店,孙磊,是,否
SC908004,2026-07-20T15:29:00,7060.24,电话下单,孙磊,否,否
SC908005,2026-07-20T13:47:00,3619.75,商城,孙磊,否,否
SC908006,2026-07-20T20:47:00,4911.32,商城,孙磊,是,是
SC908007,2026-07-20T10:24:00,1030.18,商城,吴倩,是,是
SC908008,2026-07-20T13:06:00,1751.22,商城,吴倩,是,否
SC908009,2026-07-20T19:22:00,7824.51,门店,孙磊,是,否
SC908010,2026-07-20T16:43:00,8021.79,商城,吴倩,是,否
SC908011,2026-07-20T12:51:00,6380.36,商城,吴倩,否,是
SC908012,2026-07-20T15:17:00,1068.78,商城,孙磊,否,否
SC908013,2026-07-20T11:30:00,360.81,商城,吴倩,是,否
SC908014,2026-07-20T10:37:00,8553.52,商城,孙磊,是,是
SC908015,2026-07-20T18:10:00,1834.26,门店,孙磊,否,否
SC908016,2026-07-20T18:47:00,5217.61,电话下单,赵强,是,否
SC908017,2026-07-20T16:55:00,6064.65,门店,吴倩,是,否
SC908018,2026-07-20T08:35:00,1772.64,商城,赵强,否,否
SC908019,2026-07-20T20:26:00,1556.77,商城,赵强,是,否
SC908020,2026-07-20T18:20:00,6803.12,门店,赵强,否,否
SC908021,2026-07-20T08:28:00,8351.28,电话下单,孙磊,是,否
SC908022,2026-07-20T15:59:00,8369.19,电话下单,吴倩,否,否
SC908023,2026-07-20T09:10:00,4385.4,商城,赵强,否,否
SC908024,2026-07-20T10:04:00,1527.92,商城,赵强,否,否
SC908025,2026-07-20T09:27:00,5966.43,商城,孙磊,否,否
SC908026,2026-07-20T15:36:00,255.76,门店,吴倩,是,否
SC908027,2026-07-20T10:12:00,5894.39,门店,孙磊,是,否
SC908028,2026-07-20T15:59:00,8247.65,商城,吴倩,是,否
SC908029,2026-07-20T11:37:00,1614.22,商城,吴倩,否,否
SC908030,2026-07-20T14:37:00,248.54,门店,赵强,否,否
SC908031,2026-07-20T12:43:00,4414.59,商城,赵强,是,否
SC908032,2026-07-20T08:32:00,8241.79,商城,吴倩,是,否
SC908033,2026-07-20T17:57:00,3350.19,商城,吴倩,否,否
SC908034,2026-07-20T15:30:00,7579.84,门店,赵强,是,否
SC908035,2026-07-20T08:39:00,3652.51,商城,吴倩,是,否
SC908036,2026-07-20T14:18:00,6433.82,商城,孙磊,是,否
SC908037,2026-07-20T09:14:00,7637.99,商城,吴倩,否,否
SC908038,2026-07-20T19:38:00,6142.77,门店,吴倩,否,否
SC908039,2026-07-20T21:28:00,520.82,商城,赵强,是,否
SC908040,2026-07-20T09:04:00,1615.15,商城,赵强,否,否
SC908041,2026-07-20T13:54:00,6076.85,商城,吴倩,是,否
SC908042,2026-07-20T15:13:00,821.5,商城,孙磊,是,否
SC908043,2026-07-20T13:27:00,5615.15,门店,孙磊,是,否
SC908044,2026-07-20T08:46:00,4246.86,商城,孙磊,是,否
SC908045,2026-07-20T13:51:00,1909.56,商城,吴倩,否,否
SC908046,2026-07-20T13:53:00,3370.9,商城,赵强,否,否
SC908047,2026-07-20T18:32:00,4877.05,商城,吴倩,否,否
SC908048,2026-07-20T09:42:00,2142.82,商城,赵强,否,否
SC908049,2026-07-20T21:28:00,8287.41,商城,孙磊,否,否
SC908050,2026-07-20T12:51:00,4509.07,门店,吴倩,是,否
SC908051,2026-07-20T14:59:00,8496.91,门店,赵强,是,否
SC908052,2026-07-20T14:01:00,1867.26,商城,吴倩,否,否
SC908053,2026-07-20T17:14:00,6309.16,电话下单,赵强,是,否
SC908054,2026-07-20T20:32:00,3756.02,商城,赵强,是,否
SC908055,2026-07-20T17:54:00,5200.32,商城,孙磊,否,否
SC908056,2026-07-20T21:41:00,8290.49,商城,孙磊,是,否
SC908057,2026-07-20T14:53:00,1333.07,门店,孙磊,否,否
SC908058,2026-07-20T16:35:00,664.87,商城,孙磊,否,否
SC908059,2026-07-20T20:05:00,4557.79,商城,吴倩,是,否
SC908060,2026-07-20T13:20:00,7140.26,商城,赵强,否,否
SC908061,2026-07-20T17:27:00,6094.92,门店,孙磊,是,否
SC908062,2026-07-20T15:23:00,6667.75,门店,孙磊,否,否
SC908063,2026-07-20T17:39:00,6779.96,电话下单,吴倩,否,否
SC908064,2026-07-20T21:13:00,5561.46,门店,孙磊,是,否
SC908065,2026-07-20T14:32:00,7690.06,商城,赵强,否,否
SC908066,2026-07-20T19:13:00,6079.02,商城,赵强,否,否
SC908067,2026-07-20T18:46:00,1010.0,门店,赵强,否,否
SC908068,2026-07-20T19:33:00,6348.0,商城,孙磊,是,否
SC908069,2026-07-20T18:58:00,4479.77,商城,孙磊,是,是
SC908070,2026-07-20T21:39:00,2706.18,商城,赵强,是,否
SC908071,2026-07-20T10:50:00,4125.08,商城,吴倩,是,否
SC908072,2026-07-20T15:16:00,8158.04,电话下单,赵强,是,否
SC908073,2026-07-20T13:03:00,5828.41,电话下单,吴倩,是,否
SC908074,2026-07-21T21:06:00,6348.79,门店,赵强,是,否
SC908075,2026-07-21T21:49:00,4573.65,门店,赵强,是,是
SC908076,2026-07-21T18:29:00,5214.61,门店,赵强,否,否
SC908077,2026-07-21T18:25:00,208.21,商城,孙磊,否,否
SC908078,2026-07-21T19:51:00,5693.22,商城,赵强,是,否
SC908079,2026-07-21T18:17:00,6535.93,商城,孙磊,否,否
SC908080,2026-07-21T13:38:00,2044.06,门店,孙磊,否,否
SC908081,2026-07-21T12:54:00,487.3,商城,孙磊,是,否
SC908082,2026-07-21T08:18:00,5622.72,门店,孙磊,是,否
SC908083,2026-07-21T10:57:00,334.46,电话下单,吴倩,否,否
SC908084,2026-07-21T20:35:00,887.69,商城,吴倩,否,是
SC908085,2026-07-21T17:18:00,4553.89,商城,赵强,否,否
SC908086,2026-07-21T16:20:00,1542.95,商城,孙磊,否,否
SC908087,2026-07-21T21:21:00,3669.57,门店,吴倩,是,否
SC908088,2026-07-21T19:28:00,1357.72,门店,吴倩,是,否
SC908089,2026-07-21T10:40:00,3737.66,门店,赵强,否,否
SC908090,2026-07-21T15:16:00,4072.0,门店,吴倩,否,否
SC908091,2026-07-21T20:14:00,1411.72,门店,吴倩,否,否
SC908092,2026-07-21T10:41:00,7015.97,商城,吴倩,否,否
SC908093,2026-07-21T10:47:00,7588.12,商城,吴倩,否,否
SC908094,2026-07-21T09:15:00,7018.11,商城,吴倩,是,否
SC908095,2026-07-21T10:00:00,2717.1,商城,孙磊,是,否
SC908096,2026-07-21T08:19:00,8419.6,门店,孙磊,是,否
SC908097,2026-07-21T08:46:00,6424.4,门店,吴倩,否,是
SC908098,2026-07-21T08:20:00,1777.34,商城,孙磊,是,否
SC908099,2026-07-21T13:26:00,4885.28,电话下单,赵强,否,否
SC908100,2026-07-21T08:58:00,6445.51,门店,赵强,是,否
SC908101,2026-07-21T20:35:00,336.7,商城,孙磊,是,否
SC908102,2026-07-21T11:20:00,620.14,商城,吴倩,否,否
SC908103,2026-07-21T19:31:00,8579.25,门店,赵强,否,否
SC908104,2026-07-21T10:55:00,4031.53,门店,孙磊,是,否
SC908105,2026-07-21T15:56:00,6618.2,商城,赵强,否,否
SC908106,2026-07-21T12:05:00,6810.69,门店,孙磊,否,否
SC908107,2026-07-21T19:30:00,6863.78,商城,吴倩,否,否
